description,title,image_id,user_tags
,Biltmore Estate,3519864665,"['2009 road trip', 'obrero road trip']"
,Chand Minar,4896119055,"['daulatabad', 'daulatabad fort', 'ellora', 'road trip']"
"After the flood, the boarded up stores bear uplifting graffiti",Uplifting Graffiti,3468473862,"['cedarrapids', 'createsouthroadtrip2009', 'disaster', 'graffiti']"
,DSCF6487,4120853942,"['cork', 'enchente', 'flood', 'ireland', 'irlanda']"
,Oconoe river - flooded,4436083254,"['athens georgia', 'brown', 'current', 'flood', 'mud', 'river', 'spring', 'trash', 'tree', 'winter']"
"The House & Herrmann furniture store, designed by Appleton P. Clark and completed in 1896, is located on the northeast corner of 7th and I Streets, NW. The store occupied this building for some 90 years. More on historic Furniture Row is at <a href=""http://streetsofwashington.blogspot.com/2010/06/grogans-furniture-store-on-7th-street.html"" rel=""nofollow"">streetsofwashington.blogspot.com/2010/06/grogans-furnitur...</a>",House & Herrmann Building (2010),4687941690,"['appleton p. clark', 'chinatown', 'furniture', 'furniturerow', 'house & herrmann', 'pennquarter', 'seventhstreet', 'stores', 'washington', 'washingtondc']"
duplicate (12017),Waiting for the flood?,6041476795,[]
"There were actually three temples located at this site, of which the first one was destroyed during the 7th century BC in a massive flood. Although the sea has retreated quite substantially from this place, apparently water still flows here from time to time.",imgp4356,8431249158,"['archaeological site', 'ruin', 'selçuk', 'turkey']"
"The Mornos lake is a man made lake which currently supplies Athens with drinking water. When it was created, a number of mountain villages were flooded and can only be seen on days when the water level is low.

Shot on a Canon Powershot G9.","Mornos lake - low water, village pops out, October 2008",8564707991,"['ελλάδα', 'ελλάς', 'ελληνικά', 'ελληνική', 'ελληνικό', 'ελληνικός', 'greece', 'greek', 'hellas', 'lake', 'mornos']"
"Here's a message posted from the Seven {sunrise} website

Name: Chrystal
Photo title: Old Ingham Cemetery
Brief description of the photo: Even the most sacred places have not been spared from the sea of water
town, state: Ingham QLD
Upload photo: /home/www/html/raptor/www/formCSV//0902/32127_15479_1233962891.jpg

NOTE: No valid email sender email found. Default sender email used. Please do not reply!",Old Ingham Cemetery by Chrystal,3259293162,"['floods', 'sunrise']"
,DSCN5137,463023075,"['flooding', 'milford nh', 'new hampshire', 'noreaster']"
"Northwesternpart of Tianjin. At that time, automobile vehicles on the road were mainly taxis (yellow and red).",Tianjin-NW-1,431342369,"['1997', 'china', 'march', 'tianjin']"
,IMG_7036.jpg,5897189704,"['durham', 'elvet bridge', 'river wear', 'rowing boat']"
